Rank,State,Population,PopulationNorm
24,Alabama,4863300,0.01508295808377
48,Alaska,738432,0.00229016077636882
14,Arizona,6931071,0.02149590882089
33,Arkansas,2988248,0.00926770286182421
1,California,39250017,0.121729352743664
21,Colorado,5540545,0.0171833545115954
29,Connecticut,3576452,0.0110919490067682
45,Delaware,945934,0.00293370404293647
3,Florida,20612439,0.0639270769726867
8,Georgia,10310371,0.0319764138796945
40,Hawaii,1428557,0.00443050302290138
39,Idaho,1683140,0.00522006252320785
5,Illinois,12801539,0.0397024810611617
17,Indiana,6633053,0.0205716407308669
30,Iowa,3134693,0.00972188495969555
35,Kansas,2907289,0.00901661795990495
26,Kentucky,4436974,0.013760757687327
25,Louisiana,4681666,0.0145196414040284
42,Maine,1331479,0.0041294269213127
19,Maryland,6016447,0.01865930909346
15,Massachusetts,6811779,0.021125938587565
10,Michigan,9928301,0.0307914683087723
22,Minnesota,5519952,0.0171194877224154
32,Mississippi,2988726,0.00926918532310853
18,Missouri,6093000,0.0188967292999426
44,Montana,1042520,0.00323325426387267
37,Nebraska,1907116,0.00591469798056612
34,Nevada,2940058,0.00911824719385043
41,New Hampshire,1334795,0.00413971110879975
11,New Jersey,8944469,0.0277402280362266
36,New Mexico,2081015,0.00645402545939932
4,New York,19745289,0.0612377123226874
9,North Carolina,10146788,0.0314690802724284
47,North Dakota,757952,0.00235069978111769
7,Ohio,11614373,0.0360206240882262
28,Oklahoma,3923561,0.0121684671112444
27,Oregon,4093465,0.0126954045632348
6,Pennsylvania,12784227,0.0396487899110483
43,Rhode Island,1056426,0.00327638210198936
23,South Carolina,4961119,0.0153863323104878
46,South Dakota,865454,0.00268410470368497
16,Tennessee,6651194,0.020627902927852
2,Texas,27862596,0.0864125938299136
31,Utah,3051217,0.0094629938756578
49,Vermont,624594,0.00193710548832568
12,Virginia,8411808,0.0260882420316907
13,Washington,7288000,0.022602882510747
38,West Virginia,1831102,0.00567894941975767
20,Wisconsin,5778708,0.017921989295817
50,Wyoming,585501,0.00181586310550561
